"ID","Description","GeneRatio","BgRatio","pvalue","qvalue","geneID","Count","bonferroni","Benjamini","enrichment_fold"
"101","Hematopoietic stem cell","48/3717","59/11351",1.81353246646399e-14,5.59967919469584e-14,"3791/836/4851/5243/7412/9429/960/5788/5728/7852/5175/3815/5159/7010/4609/947/8842/4170/3575/2022/6776/2624/53947/4602/952/7070/4254/216/2322/648/6777/6688/64866/2672/2057/3673/4804/1636/3675/3678/6504/3672/3655/3674/10544/5420/3676/6689",48,3.19181714097663e-12,2.12787809398442e-13,2.48
"105","Germinal center B cell","8/3717","10/11351",0.00298463430335287,0.00130411032122667,"5788/5079/928/57379/604/975/4005/257144",8,0.525295637390104,0.00495561922066136,2.44
"106","Pluripotent stem cell","15/3717","18/11351",1.43068201614468e-05,9.46616672336333e-06,"4072/5175/79923/5460/2526/6657/290/2719/928/5819/79727/9314/1009/3655/5420",15,0.00251800034841465,3.59714335487806e-05,2.54
"107","Myeloid cell","63/3717","86/11351",1.39490839970812e-14,4.96971413661192e-14,"7422/920/7412/5788/5175/3815/7099/947/941/942/54106/2526/7056/3684/6402/1233/969/2214/4311/100133941/3572/290/7097/356/3685/968/7535/3559/958/952/3683/928/1088/3560/1237/4353/729230/131450/2322/2833/4843/57126/2212/3563/975/1378/9332/8573/23765/8809/1436/2208/348/3655/929/2811/4065/3674/915/916/3676/3687/4360",63,2.45503878348629e-12,1.88849137191253e-13,2.24
"108","Granulocyte","13/3717","19/11351",0.00154526539271119,0.000715701866097816,"960/5788/2526/3684/2214/290/967/1088/2212/3563/929/3676/3687",13,0.27196670911717,0.0027196670911717,2.09
"111","Non-classical monocyte","8/3717","11/11351",0.00779594501648788,0.00303708939766964,"2526/3684/1524/2214/1088/3563/929/3687",8,1,0.0115409397111446,2.22
"113","Monocyte derived dendritic cell","14/3717","18/11351",0.000115158191835321,6.27487361084101e-05,"2526/140885/3684/2214/1471/911/6279/1088/6280/3563/929/909/3687/4360",14,0.0202678417630165,0.000238445197211959,2.38
"116","Eosinophil","35/3717","53/11351",6.77668493338793e-07,6.27735025408566e-07,"3576/960/1048/5788/3383/963/2526/3570/3684/728/969/3565/2214/100133941/2056/3965/3559/2209/928/1088/6280/2833/3567/3563/975/1378/1438/1230/2208/3566/719/929/3676/3596/3687",35,0.000119269654827628,2.38539309655255e-06,2.02
"119","Plasma cell","24/3717","47/11351",0.00695471705743107,0.00280098444418276,"939/7852/5175/3815/3383/608/7494/11040/952/6279/928/6280/930/6382/931/3543/975/5368/639/115650/3662/51237/973/7292",24,1,0.0106437408878945,1.56
"120","Granulosa cell","84/3717","192/11351",0.000856773562291616,0.000417706778291757,"4790/4313/5111/4792/2597/4173/1588/2335/5552/50511/3383/896/6502/1382/80312/2952/4833/7805/6863/5156/6696/390/1984/5324/8788/4162/2719/1116/7037/3123/9037/3627/1028/84072/4192/2026/4211/5971/794/3939/2171/7026/8519/2878/397/8407/4237/6280/23224/1278/1277/2319/330/216/900/950/5230/8091/64866/6535/1462/730/6164/6233/10761/3119/10653/3872/10252/929/130340/51477/476/4493/3149/4670/10644/6154/490/3151/9180/2192/5715/4504",84,0.150792146963324,0.00158728575750868,1.34
"122","Beta cell","39/3717","111/11351",0.327650841182181,0.100499386629599,"3630/214/23705/3481/4267/5950/8788/9037/8851/1028/6496/4093/240/128178/10736/2990/54386/2823/653/10325/116/6092/26585/29842/57586/7049/2778/846/653509/334/5208/51237/10103/3329/8835/3651/6514/489/9788",39,1,0.381897669192475,1.07
"126","Myoepithelial cell","7/3717","11/11351",0.0350106507153602,0.0124734302143793,"10630/960/8626/3688/4311/3861/1001",7,1,0.0473990348146415,1.94
"127","Oviduct-derived stem cell","19/3717","19/11351",5.95036392236759e-10,8.61236883500572e-10,"7412/9429/960/5788/5175/3815/3383/5159/214/947/8842/3688/5460/6657/2022/4162/7070/4907/3676",19,1.0472640503367e-07,3.27270015730217e-09,3.05
"128","Cancer cell","39/3717","51/11351",1.77576288137113e-10,3.04614295439883e-10,"4072/4684/142/999/57167/2064/960/2346/5788/7431/8797/3688/2752/5460/5800/4582/7490/2194/100133941/768/3880/4162/4286/5329/3875/7849/216/6382/931/7052/3856/354/2315/4804/56901/1318/1999/94025/5420",39,3.1253426712132e-08,1.15753432267155e-09,2.34
"133","Neural stem cell","57/3717","70/11351",5.62794377929073e-17,2.36966053864873e-16,"1499/4684/4851/6597/9429/7431/7852/10763/8842/3688/6513/4853/6423/1809/1000/2526/6657/429/8326/5156/100133941/2624/2263/4162/8650/4760/6656/5080/4920/5590/4440/6662/6256/9618/3398/2264/7025/6664/648/2551/975/2649/9289/7545/64866/799/861/4288/124540/1641/4804/5077/4345/3655/3148/11166/9241",57,9.90518105155168e-15,9.00471004686516e-16,2.49
"134","Cardiac progenitor cell","15/3717","19/11351",4.7259491943707e-05,2.84267620714027e-05,"3791/836/7412/9429/3815/214/947/3688/2526/140885/7490/2626/4254/3670/846",15,0.00831767058209242,0.00010802169587133,2.41
"137","Germ cell","17/3717","37/11351",0.0645672020264533,0.0224848190673838,"1956/57167/3815/50511/79923/5460/9271/2719/326340/7022/4440/143689/2649/639/9633/5420/4103",17,1,0.0854423124560585,1.4
"14","Kupffer cell","6/3717","10/11351",0.0706182407150361,0.0244085042534296,"3684/968/3689/2212/9332/929",6,1,0.0927523161630325,1.83
"142","M2 macrophage","17/3717","23/11351",6.23051797789806e-05,3.60714198720414e-05,"3586/8743/3553/7852/6347/3552/968/383/948/6778/9332/1436/2208/3662/929/6362/4360",17,0.0109657116411006,0.000137071395513757,2.26
"146","Smooth muscle cell","5/3717","11/11351",0.274346990157686,0.0852791774421632,"5175/1674/4162/1003/6876",5,1,0.32406087428022,1.39
"15","Adipose-derived stromal cell","23/3717","23/11351",6.74077759804536e-12,1.64318124273682e-11,"7412/960/2152/5788/5175/214/4609/947/3688/79923/5460/6657/2022/7056/4311/290/8788/7037/1003/7070/4907/9314/4345",23,1.18637685725598e-09,6.24408872239991e-11,3.05
"151","Neural crest cell","16/3717","23/11351",0.000325608577893597,0.000167564648272728,"4851/7431/6615/10763/3688/4853/429/6591/27087/8650/652/4804/5077/655/3676/1464",16,0.0573071097092731,0.000636745663436368,2.12
"153","Myeloid dendritic cell","14/3717","18/11351",0.000115158191835321,6.27487361084101e-05,"920/1236/941/80380/942/8829/3684/958/911/9308/4065/909/3676/3687",14,0.0202678417630165,0.000238445197211959,2.38
"155","Follicular helper (Tfh) T cell","19/3717","25/11351",1.14557635774363e-05,8.29035522051311e-06,"6774/5133/920/3569/3570/4311/643/29851/604/2833/10563/959/59067/4094/3662/6504/915/916/7292",19,0.00201621438962879,3.15033498379498e-05,2.32
"157","Basal cell","68/3717","103/11351",4.04810608211716e-12,1.04161793925822e-11,"4851/857/1475/3315/8626/2810/10457/360/9076/894/10848/140576/5268/7056/57007/6281/3489/3958/2707/6901/1308/3854/5317/9232/3852/7076/84951/3866/9982/6279/2171/1830/6273/5275/1825/3853/9635/7003/3868/6382/11187/3728/135228/2817/25946/6699/5916/2196/3861/286887/483/653499/5055/3860/655/3898/3872/3557/5327/3655/79148/6277/2877/441478/977/7791/5355/2192",68,7.1246667045262e-10,3.95814816918122e-11,2.02
"158","Hepatocyte","15/3717","17/11351",3.43151244559905e-06,2.74022772425333e-06,"7082/2244/1373/4233/213/3172/1244/6898/4311/3880/3875/383/3856/1559/1576",15,0.000603946190425433,1.04128653521626e-05,2.69
